,avg_memory_usage,avg_per_usage,kernel_cpu_usage,max_memory_usage,memory_cache,time_recorded,total_cpu_usage,user_cpu_usage
0,455999488,56221460.333333336,250000000,455999488,180224,2019-06-17T21:51:32.7115588Z,337328762,70000000
1,463142912,111947067.66666667,570000000,463609856,180224,2019-06-17T21:51:33.7206271Z,671682406,70000000
2,463659008,167954098.16666666,890000000,464592896,180224,2019-06-17T21:51:34.7228307Z,1007724589,70000000
3,465100800,222897642.83333334,1220000000,465100800,180224,2019-06-17T21:51:35.7288271Z,1337385857,70000000
4,463708160,279247878.3333333,1560000000,466673664,180224,2019-06-17T21:51:36.7422273Z,1675487270,70000000
5,466010112,334681454.0,1890000000,466673664,180224,2019-06-17T21:51:37.7488725Z,2008088724,70000000
6,467582976,391256276.0,2220000000,467582976,180224,2019-06-17T21:51:38.7511902Z,2347537656,70000000
7,467714048,446914688.0,2550000000,467714048,180224,2019-06-17T21:51:39.7574142Z,2681488128,70000000
8,468627456,501973263.1666667,2880000000,468627456,180224,2019-06-17T21:51:40.765661Z,3011839579,70000000
9,467333120,558170456.8333334,3210000000,470724608,180224,2019-06-17T21:51:41.7757439Z,3349022741,70000000
10,468119552,613651286.0,3540000000,470724608,180224,2019-06-17T21:51:42.781491Z,3681907716,70000000
11,469561344,670454845.3333334,3890000000,470724608,180224,2019-06-17T21:51:43.7851765Z,4022729072,70000000
12,469680128,725485701.0,4220000000,470724608,180224,2019-06-17T21:51:44.7934662Z,4352914206,70000000
13,472694784,780740229.5,4540000000,472694784,180224,2019-06-17T21:51:45.795936Z,4684441377,80000000
14,472686592,835983917.1666666,4880000000,472694784,180224,2019-06-17T21:51:46.802241Z,5015903503,80000000
15,472817664,892427025.8333334,5220000000,472817664,180224,2019-06-17T21:51:47.8091458Z,5354562155,80000000
16,472817664,949187232.0,5560000000,472817664,180224,2019-06-17T21:51:48.8181145Z,5695123392,80000000
17,466632704,1004278950.8333334,5880000000,478846976,180224,2019-06-17T21:51:49.8200937Z,6025673705,90000000
18,470900736,1059680170.0,6190000000,478846976,180224,2019-06-17T21:51:50.8279021Z,6358081020,110000000
19,472080384,1115771356.8333333,6530000000,478846976,180224,2019-06-17T21:51:51.8351649Z,6694628141,110000000
20,473522176,1171698685.3333333,6870000000,478846976,180224,2019-06-17T21:51:52.8416394Z,7030192112,110000000
21,473653248,1228116429.8333333,7210000000,478846976,180224,2019-06-17T21:51:53.8460517Z,7368698579,110000000
22,476667904,1282989099.0,7540000000,478846976,180224,2019-06-17T21:51:54.8506761Z,7697934594,110000000
23,476667904,1338588762.5,7870000000,478846976,180224,2019-06-17T21:51:55.856915Z,8031532575,110000000
24,476798976,1395087935.0,8200000000,478846976,180224,2019-06-17T21:51:56.8669861Z,8370527610,110000000
25,476798976,1451295966.1666667,8530000000,478846976,180224,2019-06-17T21:51:57.870899Z,8707775797,110000000
26,478896128,1506312540.6666667,8860000000,478896128,180224,2019-06-17T21:51:58.875405Z,9037875244,110000000
27,482828288,1561832962.0,9190000000,482828288,180224,2019-06-17T21:51:59.8833903Z,9370997772,110000000
28,482828288,1618254099.3333333,9520000000,482828288,180224,2019-06-17T21:52:00.8942878Z,9709524596,110000000
29,482828288,1673014164.6666667,9840000000,482828288,180224,2019-06-17T21:52:01.8962243Z,10038084988,110000000
30,482828288,1729709928.6666667,10190000000,482828288,180224,2019-06-17T21:52:02.8762884Z,10378259572,110000000
31,483090432,1784570197.6666667,10520000000,483090432,180224,2019-06-17T21:52:03.8781128Z,10707421186,110000000
32,483090432,1841286791.1666667,10860000000,483090432,180224,2019-06-17T21:52:04.8853519Z,11047720747,110000000
33,483090432,1896838385.5,11190000000,483090432,180224,2019-06-17T21:52:05.8932322Z,11381030313,110000000
34,483090432,1952491933.1666667,11510000000,483090432,180224,2019-06-17T21:52:06.8960238Z,11714951599,110000000
35,487149568,2008630164.0,11830000000,487149568,180224,2019-06-17T21:52:07.9058734Z,12051780984,110000000
36,470589440,2064104341.0,12150000000,495144960,180224,2019-06-17T21:52:08.9135377Z,12384626046,120000000
37,478863360,2119848650.0,12460000000,495144960,180224,2019-06-17T21:52:09.9161064Z,12719091900,140000000
38,480043008,2175920469.8333335,12800000000,495144960,180224,2019-06-17T21:52:10.9267453Z,13055522819,140000000
39,481615872,2231258462.3333335,13130000000,495144960,180224,2019-06-17T21:52:11.9288311Z,13387550774,140000000
40,481615872,2287232036.0,13470000000,495144960,180224,2019-06-17T21:52:12.9376785Z,13723392216,140000000
41,484630528,2342467887.1666665,13800000000,495144960,180224,2019-06-17T21:52:13.9406003Z,14054807323,140000000
42,484630528,2398568498.5,14130000000,495144960,180224,2019-06-17T21:52:14.9487648Z,14391410991,140000000
43,484761600,2455124666.3333335,14470000000,495144960,180224,2019-06-17T21:52:15.9570819Z,14730747998,140000000
44,484761600,2510656983.0,14800000000,495144960,180224,2019-06-17T21:52:16.9659739Z,15063941898,140000000
45,486858752,2567055269.3333335,15140000000,495144960,180224,2019-06-17T21:52:17.9682583Z,15402331616,140000000
46,490790912,2622405998.5,15470000000,495144960,180224,2019-06-17T21:52:18.979276Z,15734435991,140000000
47,490790912,2677444496.1666665,15800000000,495144960,180224,2019-06-17T21:52:19.9814926Z,16064666977,140000000
48,490790912,2734581197.6666665,16130000000,495144960,180224,2019-06-17T21:52:20.9873374Z,16407487186,140000000
